## Big5-HKSCS:1999 vs Unicode mapping table
## 
## Date: 24 Feb 2002 22:13:00 +0900
## License: Public Domain.
## 
## Big5	Unicode	UnicodeAlternate	UnicodeName
0x5B	0x005B		# LEFT SQUARE BRACKET
0x5C	0x005C		# REVERSE SOLIDUS
0x5D	0x005D		# RIGHT SQUARE BRACKET
0x5E	0x005E		# CIRCUMFLEX ACCENT
0x5F	0x005F		# LOW LINE
0x60	0x0060		# GRAVE ACCENT
0x61	0x0061		# LATIN SMALL LETTER A
0x62	0x0062		# LATIN SMALL LETTER B
0x63	0x0063		# LATIN SMALL LETTER C
0x64	0x0064		# LATIN SMALL LETTER D
0x65	0x0065		# LATIN SMALL LETTER E
0x66	0x0066		# LATIN SMALL LETTER F
0x67	0x0067		# LATIN SMALL LETTER G
0x68	0x0068		# LATIN SMALL LETTER H
0x69	0x0069		# LATIN SMALL LETTER I
0x6A	0x006A		# LATIN SMALL LETTER J
0x6B	0x006B		# LATIN SMALL LETTER K
0x6C	0x006C		# LATIN SMALL LETTER L
0x6D	0x006D		# LATIN SMALL LETTER M
0x6E	0x006E		# LATIN SMALL LETTER N
0x6F	0x006F		# LATIN SMALL LETTER O
0x70	0x0070		# LATIN SMALL LETTER P
0x71	0x0071		# LATIN SMALL LETTER Q
0x72	0x0072		# LATIN SMALL LETTER R
0x73	0x0073		# LATIN SMALL LETTER S
0x74	0x0074		# LATIN SMALL LETTER T
0x75	0x0075		# LATIN SMALL LETTER U
0x76	0x0076		# LATIN SMALL LETTER V
0x77	0x0077		# LATIN SMALL LETTER W
0x78	0x0078		# LATIN SMALL LETTER X
0x79	0x0079		# LATIN SMALL LETTER Y
0x7A	0x007A		# LATIN SMALL LETTER Z
0x7B	0x007B		# LEFT CURLY BRACKET
0x7C	0x007C		# VERTICAL LINE
0x7D	0x007D		# RIGHT CURLY BRACKET
0x7E	0x007E		# TILDE
0x7F	0x007F		# <control>
0x8840	U+F303		# 
0x8841	U+F304		# 
0x8842	U+F305		# 
0x8843	U+F306		# 
0x8844	U+F307		# 
0x8845	U+F308		# 
0x8846	U+F309		# 
0x8847	U+F30A		# 
0x8848	U+F30B		# 
0x8849	U+F30C		# 
0x884A	U+F30D		# 
0x884B	U+F30E		# 
0x884C	U+F30F		# 
0x884D	U+F310		# 
0x884E	U+F311		# 
0x884F	U+F312		# 
0x8850	U+F313		# 
0x8851	U+F314		# 
0x8852	U+F315		# 
0x8853	U+F316		# 
0x8854	U+F317		# 
0x8855	U+F318		# 
0x8856	U+0100	U+F319	# LATIN CAPITAL LETTER A WITH MACRON
0x8857	U+00C1	U+F31A	# LATIN CAPITAL LETTER A WITH ACUTE
0x8858	U+01CD	U+F31B	# LATIN CAPITAL LETTER A WITH CARON
0x8859	U+00C0	U+F31C	# LATIN CAPITAL LETTER A WITH GRAVE
0x885A	U+0112	U+F31D	# LATIN CAPITAL LETTER E WITH MACRON
0x885B	U+00C9	U+F31E	# LATIN CAPITAL LETTER E WITH ACUTE
0x885C	U+011A	U+F31F	# LATIN CAPITAL LETTER E WITH CARON
0x885D	U+00C8	U+F320	# LATIN CAPITAL LETTER E WITH GRAVE
0x885E	U+014C	U+F321	# LATIN CAPITAL LETTER O WITH MACRON
0x885F	U+00D3	U+F322	# LATIN CAPITAL LETTER O WITH ACUTE
0x8860	U+01D1	U+F323	# LATIN CAPITAL LETTER O WITH CARON
0x8861	U+00D2	U+F324	# LATIN CAPITAL LETTER O WITH GRAVE
0x8862	U+F325		# 
0x8863	U+1EBE	U+F326	# LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND ACUTE
0x8864	U+F327		# 
0x8865	U+1EC0	U+F328	# LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND GRAVE
0x8866	U+00CA	U+F329	# LATIN CAPITAL LETTER E WITH CIRCUMFLEX
0x8867	U+0101	U+F32A	# LATIN SMALL LETTER A WITH MACRON
0x8868	U+00E1	U+F32B	# LATIN SMALL LETTER A WITH ACUTE
0x8869	U+01CE	U+F32C	# LATIN SMALL LETTER A WITH CARON
0x886A	U+00E0	U+F32D	# LATIN SMALL LETTER A WITH GRAVE
0x886B	U+0251	U+F32E	# LATIN SMALL LETTER ALPHA
0x886C	U+0113	U+F32F	# LATIN SMALL LETTER E WITH MACRON
0x886D	U+00E9	U+F330	# LATIN SMALL LETTER E WITH ACUTE
0x886E	U+011B	U+F331	# LATIN SMALL LETTER E WITH CARON
0x886F	U+00E8	U+F332	# LATIN SMALL LETTER E WITH GRAVE
0x8870	U+012B	U+F333	# LATIN SMALL LETTER I WITH MACRON
0x8871	U+00ED	U+F334	# LATIN SMALL LETTER I WITH ACUTE
0x8872	U+01D0	U+F335	# LATIN SMALL LETTER I WITH CARON
0x8873	U+00EC	U+F336	# LATIN SMALL LETTER I WITH GRAVE
0x8874	U+014D	U+F337	# LATIN SMALL LETTER O WITH MACRON
0x8875	U+00F3	U+F338	# LATIN SMALL LETTER O WITH ACUTE
0x8876	U+01D2	U+F339	# LATIN SMALL LETTER O WITH CARON
0x8877	U+00F2	U+F33A	# LATIN SMALL LETTER O WITH GRAVE
0x8878	U+016B	U+F33B	# LATIN SMALL LETTER U WITH MACRON
0x8879	U+00FA	U+F33C	# LATIN SMALL LETTER U WITH ACUTE
0x887A	U+01D4	U+F33D	# LATIN SMALL LETTER U WITH CARON
0x887B	U+00F9	U+F33E	# LATIN SMALL LETTER U WITH GRAVE
0x887C	U+01D6	U+F33F	# LATIN SMALL LETTER U WITH DIAERESIS AND MACRON
0x887D	U+01D8	U+F340	# LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE
0x887E	U+01DA	U+F341	# LATIN SMALL LETTER U WITH DIAERESIS AND CARON
0x88A1	U+01DC	U+F342	# LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE
0x88A2	U+00FC	U+F343	# LATIN SMALL LETTER U WITH DIAERESIS
0x88A3	U+F344		# 
0x88A4	U+1EBF	U+F345	# LATIN SMALL LETTER E WITH CIRCUMFLEX AND ACUTE
0x88A5	U+F346		# 
0x88A6	U+1EC1	U+F347	# LATIN SMALL LETTER E WITH CIRCUMFLEX AND GRAVE
0x88A7	U+00EA	U+F348	# LATIN SMALL LETTER E WITH CIRCUMFLEX
0x88A8	U+0261	U+F349	# LATIN SMALL LETTER SCRIPT G
0x88A9	U+F34A		# 
0x88AA	U+F34B		# 
0x8940	U+F3A0		# 
0x8941	U+F3A1		# 
0x8943	U+650A	U+F3A3	# <cjk>
0x8946	U+4E3D	U+F3A6	# <cjk>
0x8947	U+6EDD	U+F3A7	# <cjk>
0x8948	U+9D4E	U+F3A8	# <cjk>
0x8949	U+91DF	U+F3A9	# <cjk>
0x894C	U+F3AC		# 
0x894D	U+6491	U+F3AD	# <cjk>
0x894E	U+4F1A	U+F3AE	# <cjk>
0x894F	U+4F28	U+F3AF	# <cjk>
0x8950	U+4FA8	U+F3B0	# <cjk>
0x8951	U+5156	U+F3B1	# <cjk>
0x8952	U+5174	U+F3B2	# <cjk>
0x8953	U+519C	U+F3B3	# <cjk>
0x8954	U+51E4	U+F3B4	# <cjk>
0x8955	U+52A1	U+F3B5	# <cjk>
0x8956	U+52A8	U+F3B6	# <cjk>
0x8957	U+533B	U+F3B7	# <cjk>
0x8958	U+534E	U+F3B8	# <cjk>
0x8959	U+53D1	U+F3B9	# <cjk>
0x895A	U+53D8	U+F3BA	# <cjk>
0x895B	U+56E2	U+F3BB	# <cjk>
0x895C	U+58F0	U+F3BC	# <cjk>
0x895D	U+5904	U+F3BD	# <cjk>
0x895E	U+5907	U+F3BE	# <cjk>
0x895F	U+5932	U+F3BF	# <cjk>
0x8960	U+5934	U+F3C0	# <cjk>
0x8961	U+5B66	U+F3C1	# <cjk>
0x8962	U+5B9E	U+F3C2	# <cjk>
0x8963	U+5B9F	U+F3C3	# <cjk>
0x8964	U+5C9A	U+F3C4	# <cjk>
0x8965	U+5E86	U+F3C5	# <cjk>
0x8966	U+603B	U+F3C6	# <cjk>
0x8967	U+6589	U+F3C7	# <cjk>
0x8968	U+67FE	U+F3C8	# <cjk>
0x8969	U+6804	U+F3C9	# <cjk>
0x896A	U+6865	U+F3CA	# <cjk>
0x896B	U+6D4E	U+F3CB	# <cjk>
0x896C	U+70BC	U+F3CC	# <cjk>
0x896D	U+7535	U+F3CD	# <cjk>
0x896E	U+7EA4	U+F3CE	# <cjk>
0x896F	U+7EAC	U+F3CF	# <cjk>
0x8970	U+7EBA	U+F3D0	# <cjk>
0x8971	U+7EC7	U+F3D1	# <cjk>
0x8972	U+7ECF	U+F3D2	# <cjk>
0x8973	U+7EDF	U+F3D3	# <cjk>
0x8974	U+7F06	U+F3D4	# <cjk>
0x8975	U+7F37	U+F3D5	# <cjk>
0x8976	U+827A	U+F3D6	# <cjk>
0x8977	U+82CF	U+F3D7	# <cjk>
0x8978	U+836F	U+F3D8	# <cjk>
0x8979	U+89C6	U+F3D9	# <cjk>
0x897A	U+8BBE	U+F3DA	# <cjk>
0x897B	U+8BE2	U+F3DB	# <cjk>
0x897C	U+8F66	U+F3DC	# <cjk>
0x897D	U+8F67	U+F3DD	# <cjk>
0x897E	U+8F6E	U+F3DE	# <cjk>
0x89A1	U+7411	U+F3DF	# <cjk>
0x89A2	U+7CFC	U+F3E0	# <cjk>
0x89A3	U+7DCD	U+F3E1	# <cjk>
0x89A4	U+6946	U+F3E2	# <cjk>
0x89A5	U+7AC9	U+F3E3	# <cjk>
0x89A6	U+5227	U+F3E4	# <cjk>
0x89AB	U+918C	U+F3E9	# <cjk>
0x89AC	U+78B8	U+F3EA	# <cjk>
0x89AD	U+915E	U+F3EB	# <cjk>
0x89AE	U+80BC	U+F3EC	# <cjk>
0x89B0	U+8D0B	U+F3EE	# <cjk>
0x89B1	U+80F6	U+F3EF	# <cjk>
0x89B2	U+F3F0		# 
0x89B5	U+809F	U+F3F3	# <cjk>
0x89B6	U+9EC7	U+F3F4	# <cjk>
0x89B7	U+4CCD	U+F3F5	# <cjk>
0x89B8	U+9DC9	U+F3F6	# <cjk>
0x89B9	U+9E0C	U+F3F7	# <cjk>
0x89BA	U+4C3E	U+F3F8	# <cjk>
0x89BB	U+F3F9		# 
0x89BC	U+F3FA		# 
0x89BD	U+9E0A	U+F3FB	# <cjk>
0x89BE	U+F3FC		# 
0x89BF	U+35C1	U+F3FD	# <cjk>
0x89C1	U+6E9A	U+F3FF	# <cjk>
0x89C2	U+823E	U+F400	# <cjk>
0x89C3	U+7519	U+F401	# <cjk>
0x89C5	U+4911	U+F403	# <cjk>
0x89C6	U+9A6C	U+F404	# <cjk>
0x89C7	U+9A8F	U+F405	# <cjk>
0x89C8	U+9F99	U+F406	# <cjk>
0x89C9	U+7987	U+F407	# <cjk>
0x89CA	U+F408		# 
0x89CB	U+F409		# 
0x89CC	U+F40A		# 
0x89CD	U+F40B		# 
0x89CE	U+4E24	U+F40C	# <cjk>
0x89CF	U+4E81	U+F40D	# <cjk>
0x89D0	U+4E80	U+F40E	# <cjk>
0x89D1	U+4E87	U+F40F	# <cjk>
0x89D2	U+4EBF	U+F410	# <cjk>
0x89D3	U+4EEB	U+F411	# <cjk>
0x89D4	U+4F37	U+F412	# <cjk>
0x89D5	U+344C	U+F413	# <cjk>
0x89D6	U+4FBD	U+F414	# <cjk>
0x89D7	U+3E48	U+F415	# <cjk>
0x89D8	U+5003	U+F416	# <cjk>
0x89D9	U+5088	U+F417	# <cjk>
0x89DA	U+347D	U+F418	# <cjk>
0x89DB	U+3493	U+F419	# <cjk>
0x89DC	U+34A5	U+F41A	# <cjk>
0x89DD	U+5186	U+F41B	# <cjk>
0x89DE	U+5905	U+F41C	# <cjk>
0x89DF	U+51DB	U+F41D	# <cjk>
0x89E0	U+51FC	U+F41E	# <cjk>
0x89E1	U+5205	U+F41F	# <cjk>
0x89E2	U+4E89	U+F420	# <cjk>
0x89E3	U+5279	U+F421	# <cjk>
0x89E4	U+5290	U+F422	# <cjk>
0x89E5	U+5327	U+F423	# <cjk>
0x89E6	U+35C7	U+F424	# <cjk>
0x89E7	U+53A9	U+F425	# <cjk>
0x89E8	U+3551	U+F426	# <cjk>
0x89E9	U+53B0	U+F427	# <cjk>
0x89EA	U+3553	U+F428	# <cjk>
0x89EB	U+53C2	U+F429	# <cjk>
0x89EC	U+5423	U+F42A	# <cjk>
0x89ED	U+356D	U+F42B	# <cjk>
0x89EE	U+3572	U+F42C	# <cjk>
0x89EF	U+3681	U+F42D	# <cjk>
0x89F0	U+5493	U+F42E	# <cjk>
0x89F1	U+54A3	U+F42F	# <cjk>
0x89F2	U+54B4	U+F430	# <cjk>
0x89F3	U+54B9	U+F431	# <cjk>
0x89F4	U+54D0	U+F432	# <cjk>
0x89F5	U+54EF	U+F433	# <cjk>
0x89F6	U+5518	U+F434	# <cjk>
0x89F7	U+5523	U+F435	# <cjk>
0x89F8	U+5528	U+F436	# <cjk>
0x89F9	U+3598	U+F437	# <cjk>
0x89FA	U+553F	U+F438	# <cjk>
0x89FB	U+35A5	U+F439	# <cjk>
0x89FC	U+35BF	U+F43A	# <cjk>
0x89FD	U+55D7	U+F43B	# <cjk>
0x89FE	U+35C5	U+F43C	# <cjk>
0x8A40	U+F43D		# 
0x8A41	U+5525	U+F43E	# <cjk>
0x8A43	U+F440		# 
0x8A44	U+F441		# 
0x8A45	U+F442		# 
0x8A46	U+5590	U+F443	# <cjk>
0x8A47	U+F444		# 
0x8A48	U+39EC	U+F445	# <cjk>
0x8A49	U+F446		# 
0x8A4A	U+8E46	U+F447	# <cjk>
0x8A4B	U+F448		# 
0x8A4C	U+F449		# 
0x8A4D	U+4053	U+F44A	# <cjk>
0x8A4E	U+F44B		# 
0x8A4F	U+777A	U+F44C	# <cjk>
0x8A50	U+F44D		# 
0x8A51	U+3A34	U+F44E	# <cjk>
0x8A52	U+47D5	U+F44F	# <cjk>
0x8A53	U+F450		# 
0x8A54	U+F451		# 
0x8A55	U+F452		# 
0x8A56	U+64DD	U+F453	# <cjk>
0x8A57	U+F454		# 
0x8A58	U+F455		# 
0x8A59	U+F456		# 
0x8A5A	U+F457		# 
0x8A5B	U+648D	U+F458	# <cjk>
0x8A5C	U+8E7E	U+F459	# <cjk>
0x8A5D	U+F45A		# 
0x8A5E	U+F45B		# 
0x8A5F	U+F45C		# 
0x8A60	U+F45D		# 
0x8A61	U+F45E		# 
0x8A62	U+F45F		# 
0x8A64	U+F461		# 
0x8A65	U+F462		# 
0x8A66	U+F463		# 
0x8A67	U+47F4	U+F464	# <cjk>
0x8A68	U+F465		# 
0x8A69	U+F466		# 
0x8A6A	U+9AB2	U+F467	# <cjk>
0x8A6B	U+3A67	U+F468	# <cjk>
0x8A6C	U+F469		# 
0x8A6D	U+3FED	U+F46A	# <cjk>
0x8A6E	U+3506	U+F46B	# <cjk>
0x8A6F	U+F46C		# 
0x8A70	U+F46D		# 
0x8A71	U+F46E		# 
0x8A72	U+F46F		# 
0x8A73	U+9D6E	U+F470	# <cjk>
0x8A74	U+9815	U+F471	# <cjk>
0x8A76	U+43D9	U+F473	# <cjk>
0x8A77	U+F474		# 
0x8A78	U+64B4	U+F475	# <cjk>
0x8A79	U+54E3	U+F476	# <cjk>
0x8A7A	U+F477		# 
0x8A7B	U+F478		# 
0x8A7C	U+F479		# 
0x8A7D	U+39FB	U+F47A	# <cjk>
0x8A7E	U+F47B		# 
0x8AA1	U+F47C		# 
0x8AA2	U+F47D		# 
0x8AA3	U+F47E		# 
0x8AA4	U+64EA	U+F47F	# <cjk>
0x8AA5	U+F480		# 
0x8AA6	U+F481		# 
0x8AA7	U+8E68	U+F482	# <cjk>
0x8AA8	U+F483		# 
0x8AA9	U+F484		# 
0x8AAA	U+F485		# 
0x8AAC	U+480B	U+F487	# <cjk>
0x8AAD	U+F488		# 
0x8AAE	U+3FFA	U+F489	# <cjk>
0x8AAF	U+5873	U+F48A	# <cjk>
0x8AB0	U+F48B		# 
0x8AB2	U+F48D		# 
0x8AB3	U+F48E		# 
0x8AB4	U+F48F		# 
0x8AB5	U+F490		# 
0x8AB6	U+F491		# 
0x8AB7	U+5579	U+F492	# <cjk>
0x8AB8	U+40BB	U+F493	# <cjk>
0x8AB9	U+43BA	U+F494	# <cjk>
0x8ABB	U+4AB4	U+F496	# <cjk>
0x8ABC	U+F497		# 
0x8ABD	U+F498		# 
0x8ABE	U+81AA	U+F499	# <cjk>
0x8ABF	U+98F5	U+F49A	# <cjk>
0x8AC0	U+F49B		# 
0x8AC1	U+6379	U+F49C	# <cjk>
0x8AC2	U+39FE	U+F49D	# <cjk>
0x8AC3	U+F49E		# 
0x8AC4	U+8DC0	U+F49F	# <cjk>
0x8AC5	U+56A1	U+F4A0	# <cjk>
0x8AC6	U+647C	U+F4A1	# <cjk>
0x8AC7	U+3E43	U+F4A2	# <cjk>
0x8AC9	U+F4A4		# 
0x8ACA	U+F4A5		# 
0x8ACB	U+F4A6		# 
0x8ACC	U+F4A7		# 
0x8ACE	U+F4A9		# 
0x8ACF	U+F4AA		# 
0x8AD0	U+3992	U+F4AB	# <cjk>
0x8AD1	U+3A06	U+F4AC	# <cjk>
0x8AD2	U+F4AD		# 
0x8AD3	U+3578	U+F4AE	# <cjk>
0x8AD4	U+F4AF		# 
0x8AD5	U+F4B0		# 
0x8AD6	U+5652	U+F4B1	# <cjk>
0x8AD7	U+F4B2		# 
0x8AD8	U+F4B3		# 
0x8AD9	U+F4B4		# 
0x8ADA	U+34BC	U+F4B5	# <cjk>
0x8ADB	U+6C3D	U+F4B6	# <cjk>
0x8ADC	U+F4B7		# 
0x8ADF	U+F4BA		# 
0x8AE0	U+F4BB		# 
0x8AE1	U+F4BC		# 
0x8AE2	U+F4BD		# 
0x8AE3	U+F4BE		# 
0x8AE4	U+F4BF		# 
0x8AE5	U+F4C0		# 
0x8AE6	U+F4C1		# 
0x8AE7	U+7F93	U+F4C2	# <cjk>
0x8AE8	U+F4C3		# 
0x8AE9	U+F4C4		# 
0x8AEA	U+F4C5		# 
0x8AEB	U+35FB	U+F4C6	# <cjk>
0x8AEC	U+F4C7		# 
0x8AED	U+F4C8		# 
0x8AEE	U+F4C9		# 
0x8AEF	U+F4CA		# 
0x8AF0	U+3F93	U+F4CB	# <cjk>
0x8AF1	U+F4CC		# 
0x8AF2	U+F4CD		# 
0x8AF3	U+F4CE		# 
0x8AF4	U+F4CF		# 
0x8AF6	U+F4D1		# 
0x8AF7	U+F4D2		# 
0x8AF8	U+F4D3		# 
0x8AF9	U+F4D4		# 
0x8AFA	U+F4D5		# 
0x8AFB	U+3FF9	U+F4D6	# <cjk>
0x8AFC	U+F4D7		# 
0x8AFD	U+6432	U+F4D8	# <cjk>
0x8AFE	U+F4D9		# 
0x8B40	U+F4DA		# 
0x8B41	U+F4DB		# 
0x8B42	U+F4DC		# 
0x8B43	U+F4DD		# 
0x8B44	U+F4DE		# 
0x8B45	U+F4DF		# 
0x8B46	U+F4E0		# 
0x8B47	U+3A18	U+F4E1	# <cjk>
0x8B48	U+F4E2		# 
0x8B49	U+F4E3		# 
0x8B4A	U+F4E4		# 
0x8B4B	U+F4E5		# 
0x8B4C	U+F4E6		# 
0x8B4D	U+F4E7		# 
0x8B4E	U+F4E8		# 
0x8B4F	U+F4E9		# 
0x8B50	U+95AA	U+F4EA	# <cjk>
0x8B51	U+54CC	U+F4EB	# <cjk>
0x8B52	U+82C4	U+F4EC	# <cjk>
0x8B53	U+55B9	U+F4ED	# <cjk>
0x8B55	U+F4EF		# 
0x8B56	U+9C26	U+F4F0	# <cjk>
0x8B57	U+9AB6	U+F4F1	# <cjk>
0x8B58	U+F4F2		# 
0x8B59	U+F4F3		# 
0x8B5A	U+7140	U+F4F4	# <cjk>
0x8B5B	U+816D	U+F4F5	# <cjk>
0x8B5C	U+80EC	U+F4F6	# <cjk>
0x8B5D	U+5C1C	U+F4F7	# <cjk>
0x8B5E	U+F4F8		# 
0x8B5F	U+8134	U+F4F9	# <cjk>
0x8B60	U+3797	U+F4FA	# <cjk>
0x8B61	U+535F	U+F4FB	# <cjk>
0x8B62	U+F4FC		# 
0x8B63	U+91B6	U+F4FD	# <cjk>
0x8B64	U+F4FE		# 
0x8B65	U+F4FF		# 
0x8B66	U+F500		# 
0x8B67	U+F501		# 
0x8B68	U+35DD	U+F502	# <cjk>
0x8B69	U+F503		# 
0x8B6A	U+3609	U+F504	# <cjk>
0x8B6B	U+F505		# 
0x8B6C	U+56AF	U+F506	# <cjk>
0x8B6D	U+F507		# 
0x8B6E	U+F508		# 
0x8B6F	U+F509		# 
0x8B70	U+F50A		# 
0x8B71	U+F50B		# 
0x8B72	U+F50C		# 
0x8B73	U+F50D		# 
0x8B74	U+F50E		# 
0x8B75	U+F50F		# 
0x8B76	U+F510		# 
0x8B77	U+F511		# 
0x8B78	U+5A54	U+F512	# <cjk>
0x8B79	U+F513		# 
0x8B7A	U+F514		# 
0x8B7B	U+F515		# 
0x8B7C	U+F516		# 
0x8B7D	U+579C	U+F517	# <cjk>
0x8B7E	U+F518		# 
0x8BA1	U+F519		# 
0x8BA2	U+F51A		# 
0x8BA3	U+F51B		# 
0x8BA4	U+F51C		# 
0x8BA5	U+F51D		# 
0x8BA6	U+3703	U+F51E	# <cjk>
0x8BA7	U+F51F		# 
0x8BA8	U+F520		# 
0x8BA9	U+F521		# 
0x8BAA	U+F522		# 
0x8BAB	U+F523		# 
0x8BAC	U+F524		# 
0x8BAD	U+F525		# 
0x8BAE	U+F526		# 
0x8BAF	U+5899	U+F527	# <cjk>
0x8BB0	U+5268	U+F528	# <cjk>
0x8BB1	U+361A	U+F529	# <cjk>
0x8BB2	U+F52A		# 
0x8BB3	U+7BB2	U+F52B	# <cjk>
0x8BB4	U+5B68	U+F52C	# <cjk>
0x8BB5	U+4800	U+F52D	# <cjk>
0x8BB6	U+4B2C	U+F52E	# <cjk>
0x8BB7	U+9F27	U+F52F	# <cjk>
0x8BB8	U+49E7	U+F530	# <cjk>
0x8BB9	U+9C1F	U+F531	# <cjk>
0x8BBA	U+9B8D	U+F532	# <cjk>
0x8BBB	U+F533		# 
0x8BBC	U+F534		# 
0x8BBD	U+55FB	U+F535	# <cjk>
0x8BBE	U+35F2	U+F536	# <cjk>
0x8BBF	U+5689	U+F537	# <cjk>
0x8BC0	U+4E28	U+F538	# <cjk>
0x8BC1	U+5902	U+F539	# <cjk>
0x8BC2	U+F53A		# 
0x8BC3	U+F53B		# 
0x8BC4	U+9751	U+F53C	# <cjk>
0x8BC5	U+F53D		# 
0x8BC6	U+4E5B	U+F53E	# <cjk>
0x8BC7	U+4EBB	U+F53F	# <cjk>
0x8BC8	U+353E	U+F540	# <cjk>
0x8BC9	U+5C23	U+F541	# <cjk>
0x8BCA	U+5F51	U+F542	# <cjk>
0x8BCB	U+5FC4	U+F543	# <cjk>
0x8BCC	U+38FA	U+F544	# <cjk>
0x8BCD	U+624C	U+F545	# <cjk>
0x8BCE	U+6535	U+F546	# <cjk>
0x8BCF	U+6B7A	U+F547	# <cjk>
0x8BD0	U+6C35	U+F548	# <cjk>
0x8BD1	U+6C3A	U+F549	# <cjk>
0x8BD2	U+706C	U+F54A	# <cjk>
0x8BD3	U+722B	U+F54B	# <cjk>
0x8BD4	U+4E2C	U+F54C	# <cjk>
0x8BD5	U+72AD	U+F54D	# <cjk>
0x8BD6	U+F54E		# 
0x8BD7	U+7F52	U+F54F	# <cjk>
0x8BD8	U+793B	U+F550	# <cjk>
0x8BD9	U+7CF9	U+F551	# <cjk>
0x8BDA	U+7F53	U+F552	# <cjk>
0x8BDB	U+F553		# 
0x8BDC	U+34C1	U+F554	# <cjk>
0x8BDE	U+F556		# 
0x8BDF	U+8002	U+F557	# <cjk>
0x8BE0	U+8080	U+F558	# <cjk>
0x8BE1	U+F559		# 
0x8BE2	U+F55A		# 
0x8BE3	U+535D	U+F55B	# <cjk>
0x8BE4	U+8864	U+F55C	# <cjk>
0x8BE5	U+89C1	U+F55D	# <cjk>
0x8BE6	U+F55E		# 
