HKSCS-2004 HKSCS-2004 in          HKSCS-2004 in          HKSCS-2004 in
9662       E81B                   3F00                    3F00
9663       922A                   922A                    922A
9664       E81D                   4925                    4925
9665       8414                   8414                    8414
9666       993B                   993B                    993B
9667       994D                   994D                    994D
9668       E821                   E821                   27B06
9669       E822                   3DFD                    3DFD
966A       999B                   999B                    999B
966B       E824                   4B6F                    4B6F
966C       99AA                   99AA                    99AA
966D       9A5C                   9A5C                    9A5C
966E       E827                   E827                   28B65
966F       E828                   E828                   258C8
9670       6A8F                   6A8F                    6A8F
9671       9A21                   9A21                    9A21
9672       5AFE                   5AFE                    5AFE
9673       9A2F                   9A2F                    9A2F
9674       E82D                   E82D                   298F1
9675       E82E                   4B90                    4B90
9676       E82F                   E82F                   29948
9677       99BC                   99BC                    99BC
9678       E831                   4BBD                    4BBD
9679       E832                   4B97                    4B97
967A       937D                   937D                    937D
967B       5872                   5872                    5872
967C       E835                   E835                   21302
967D       5822                   5822                    5822
967E       E837                   E837                   249B8
96A1       E838                   E838                   214E8
96A2       7844                   7844                    7844
96A3       E83A                   E83A                   2271F
96A4       E83B                   E83B                   23DB8
96A5       68C5                   68C5                    68C5
96A6       E83D                   3D7D                    3D7D
96A7       9458                   9458                    9458
96A8       E83F                   3927                    3927
96A9       6150                   6150                    6150
96AA       E841                   E841                   22781
96AB       E842                   E842                   2296B
96AC       6107                   6107                    6107
96AD       9C4F                   9C4F                    9C4F
96AE       9C53                   9C53                    9C53
96AF       9C7B                   9C7B                    9C7B
96B0       9C35                   9C35                    9C35
96B1       9C10                   9C10                    9C10
96B2       9B7F                   9B7F                    9B7F
96B3       9BCF                   9BCF                    9BCF
96B4       E84B                   E84B                   29E2D
96B5       9B9F                   9B9F                    9B9F
96B6       E84D                   E84D                   2A1F5
96B7       E84E                   E84E                   2A0FE
96B8       9D21                   9D21                    9D21
96B9       E850                   4CAE                    4CAE
96BA       E851                   E851                   24104
96BB       9E18                   9E18                    9E18
96BC       E853                   4CB0                    4CB0
96BD       9D0C                   9D0C                    9D0C
96BE       E855                   E855                   2A1B4
96BF       E856                   E856                   2A0ED
96C0       E857                   E857                   2A0F3
96C1       E858                   E858                   2992F
96C2       9DA5                   9DA5                    9DA5
96C3       84BD                   84BD                    84BD
96C4       E85B                   E85B                   26E12
96C5       E85C                   E85C                   26FDF
96C6       E85D                   E85D                   26B82
96C7       85FC                   85FC                    85FC
96C8       E85F                   4533                    4533
96C9       E860                   E860                   26DA4
96CA       E861                   E861                   26E84
96CB       E862                   E862                   26DF0
96CC       8420                   8420                    8420
96CD       85EE                   85EE                    85EE
96CE       E865                   E865                   26E00
96CF       E866                   E866                   237D7
96D0       E867                   E867                   26064
96D1       79E2                   79E2                    79E2
96D2       E869                   E869                   2359C
96D3       E86A                   E86A                   23640
96D4       E86B                   492D                    492D
96D5       E86C                   E86C                   249DE
96D6       E86D                   3D62                    3D62
96D7       93DB                   93DB                    93DB
96D8       92BE                   92BE                    92BE
96D9       9348                   9348                    9348
96DA       E871                   E871                   202BF
96DB       78B9                   78B9                    78B9
96DC       9277                   9277                    9277
96DD       944D                   944D                    944D
96DE       4FE4                   4FE4                    4FE4
96DF       E876                   3440                    3440
96E0       9064                   9064                    9064
96E1       E878                   E878                   2555D
96E2       783D                   783D                    783D
96E3       7854                   7854                    7854
96E4       78B6                   78B6                    78B6
96E5       784B                   784B                    784B
96E6       E87D                   E87D                   21757
96E7       E87E                   E87E                   231C9
96E8       E87F                   E87F                   24941
96E9       E880                   369A                    369A
96EA       4F72                   4F72                    4F72
96EB       6FDA                   6FDA                    6FDA
96EC       6FD9                   6FD9                    6FD9
96EE       701E                   701E                    701E
96EF       5414                   5414                    5414
96F0       E887                   E887                   241B5
96F1       57BB                   57BB                    57BB
96F2       58F3                   58F3                    58F3
96F3       578A                   578A                    578A
96F4       9D16                   9D16                    9D16
96F5       57D7                   57D7                    57D7
96F6       7134                   7134                    7134
96F7       E88E                   34AF                    34AF
96F8       E88F                   E88F                   241AC
96F9       71EB                   71EB                    71EB
96FA       E891                   E891                   26C40
96FB       E892                   E892                   24F97
96FD       E894                   E894                   217B5
96FE       E895                   E895                   28A49
9740       610C                   610C                    610C
9741       5ACE                   5ACE                    5ACE
9742       5A0B                   5A0B                    5A0B
9743       E899                   42BC                    42BC
9744       E89A                   E89A                   24488
9745       E89B                   372C                    372C
9746       E89C                   4B7B                    4B7B
9747       E89D                   E89D                   289FC
9748       93BB                   93BB                    93BB
9749       93B8                   93B8                    93B8
974A       E8A0                   E8A0                   218D6
974B       E8A1                   E8A1                   20F1D
974C       8472                   8472                    8472
974D       E8A3                   E8A3                   26CC0
974E       E8A4                   E8A4                   21413
974F       E8A5                   E8A5                   242FA
9750       E8A6                   E8A6                   22C26
9751       E8A7                   E8A7                   243C1
9752       5994                   5994                    5994
9753       E8A9                   E8A9                   23DB7
9754       E8AA                   E8AA                   26741
9755       7DA8                   7DA8                    7DA8
9756       E8AC                   E8AC                   2615B
9757       E8AD                   E8AD                   260A4
9758       E8AE                   E8AE                   249B9
9759       E8AF                   E8AF                   2498B
975A       E8B0                   E8B0                   289FA
975B       92E5                   92E5                    92E5
975C       73E2                   73E2                    73E2
975D       E8B3                   3EE9                    3EE9
975E       74B4                   74B4                    74B4
975F       E8B5                   E8B5                   28B63
9760       E8B6                   E8B6                   2189F
9761       E8B7                   3EE1                    3EE1
9762       E8B8                   E8B8                   24AB3
9763       6AD8                   6AD8                    6AD8
9764       73F3                   73F3                    73F3
9765       73FB                   73FB                    73FB
9766       E8BC                   3ED6                    3ED6
9767       E8BD                   E8BD                   24A3E
9768       E8BE                   E8BE                   24A94
9769       E8BF                   E8BF                   217D9
976A       E8C0                   E8C0                   24A66
976B       E8C1                   E8C1                   203A7
976C       E8C2                   E8C2                   21424
976D       E8C3                   E8C3                   249E5
976E       7448                   7448                    7448
976F       E8C5                   E8C5                   24916
9770       70A5                   70A5                    70A5
9771       E8C7                   E8C7                   24976
9772       9284                   9284                    9284
9773       73E6                   73E6                    73E6
9774       935F                   935F                    935F
9775       E8CB                   E8CB                   204FE
9776       9331                   9331                    9331
9777       E8CD                   E8CD                   28ACE
9778       E8CE                   E8CE                   28A16
9779       9386                   9386                    9386
977A       E8D0                   E8D0                   28BE7
977B       E8D1                   E8D1                   255D5
977C       E8D2                   4935                    4935
977D       E8D3                   E8D3                   28A82
977E       716B                   716B                    716B
97A1       E8D5                   E8D5                   24943
97A2       E8D6                   E8D6                   20CFF
97A3       56A4                   56A4                    56A4
97A4       E8D8                   E8D8                   2061A
97A5       E8D9                   E8D9                   20BEB
97A6       E8DA                   E8DA                   20CB8
97A7       5502                   5502                    5502
97A8       79C4                   79C4                    79C4
97A9       E8DD                   E8DD                   217FA
97AA       7DFE                   7DFE                    7DFE
97AB       E8DF                   E8DF                   216C2
97AC       E8E0                   E8E0                   24A50
97AD       E8E1                   E8E1                   21852
97AE       E8E2                   452E                    452E
97AF       9401                   9401                    9401
97B0       E8E4                   370A                    370A
97B1       E8E5                   E8E5                   28AC0
97B2       E8E6                   E8E6                   249AD
97B3       59B0                   59B0                    59B0
97B4       E8E8                   E8E8                   218BF
97B5       E8E9                   E8E9                   21883
97B6       E8EA                   E8EA                   27484
97B7       5AA1                   5AA1                    5AA1
97B8       E8EC                   36E2                    36E2
97B9       E8ED                   E8ED                   23D5B
97BA       E8EE                   36B0                    36B0
97BB       925F                   925F                    925F
97BC       5A79                   5A79                    5A79
97BD       E8F1                   E8F1                   28A81
97BE       E8F2                   E8F2                   21862
97BF       9374                   9374                    9374
97C0       E8F4                   3CCD                    3CCD
97C1       E8F5                   E8F5                   20AB4
97C2       E8F6                   4A96                    4A96
97C3       E8F7                   398A                    398A
97C4       50F4                   50F4                    50F4
97C5       E8F9                   3D69                    3D69
97C6       E8FA                   3D4C                    3D4C
97C7       E8FB                   E8FB                   2139C
97C8       7175                   7175                    7175
97C9       E8FD                   42FB                    42FB
97CA       E8FE                   E8FE                   28218
97CB       6E0F                   6E0F                    6E0F
97CC       E900                   E900                   290E4
97CD       E901                   44EB                    44EB
97CE       6D57                   6D57                    6D57
97CF       E903                   E903                   27E4F
97D0       7067                   7067                    7067
97D1       6CAF                   6CAF                    6CAF
97D2       E906                   3CD6                    3CD6
97D3       E907                   E907                   23FED
97D4       E908                   E908                   23E2D
97D5       6E02                   6E02                    6E02
97D6       6F0C                   6F0C                    6F0C
97D7       E90B                   3D6F                    3D6F
97D8       E90C                   E90C                   203F5
97D9       7551                   7551                    7551
97DA       E90E                   36BC                    36BC
97DB       E90F                   34C8                    34C8
97DC       E910                   4680                    4680
97DD       E911                   3EDA                    3EDA
97DE       E912                   4871                    4871
97DF       59C4                   59C4                    59C4
97E0       926E                   926E                    926E
97E1       E915                   493E                    493E
97E2       8F41                   8F41                    8F41
97E3       E917                   E917                   28C1C
97E4       E918                   E918                   26BC0
97E5       5812                   5812                    5812
97E6       57C8                   57C8                    57C8
97E7       E91B                   36D6                    36D6
97E8       E91C                   E91C                   21452
97E9       70FE                   70FE                    70FE
97EA       E91E                   E91E                   24362
97EB       E91F                   E91F                   24A71
97EC       E920                   E920                   22FE3
97ED       E921                   E921                   212B0
97EE       E922                   E922                   223BD
97EF       68B9                   68B9                    68B9
97F0       6967                   6967                    6967
97F1       E925                   E925                   21398
97F2       E926                   E926                   234E5
97F3       E927                   E927                   27BF4
97F4       E928                   E928                   236DF
97F5       E929                   E929                   28A83
97F6       E92A                   E92A                   237D6
97F7       E92B                   E92B                   233FA
97F8       E92C                   E92C                   24C9F
97F9       6A1A                   6A1A                    6A1A
97FA       E92E                   E92E                   236AD
97FB       E92F                   E92F                   26CB7
97FC       843E                   843E                    843E
97FD       E931                   44DF                    44DF
97FE       E932                   44CE                    44CE
9840       E933                   E933                   26D26
9841       E934                   E934                   26D51
9842       E935                   E935                   26C82
9843       E936                   E936                   26FDE
9844       6F17                   6F17                    6F17
9845       E938                   E938                   27109
9846       833D                   833D                    833D
9847       E93A                   E93A                   2173A
9848       83ED                   83ED                    83ED
9849       E93C                   E93C                   26C80
984A       E93D                   E93D                   27053
984B       E93E                   E93E                   217DB
984C       5989                   5989                    5989
984D       5A82                   5A82                    5A82
984E       E941                   E941                   217B3
984F       5A61                   5A61                    5A61
9850       5A71                   5A71                    5A71
9851       E944                   E944                   21905
9852       E945                   E945                   241FC
9853       E946                   372D                    372D
9854       59EF                   59EF                    59EF
9855       E948                   E948                   2173C
9856       E949                   36C7                    36C7
9857       718E                   718E                    718E
9858       9390                   9390                    9390
9859       669A                   669A                    669A
985A       E94D                   E94D                   242A5
985B       5A6E                   5A6E                    5A6E
985C       5A2B                   5A2B                    5A2B
985D       E950                   E950                   24293
985E       6A2B                   6A2B                    6A2B
985F       E952                   E952                   23EF9
9860       E953                   E953                   27736
9861       E954                   E954                   2445B
9862       E955                   E955                   242CA
9863       711D                   711D                    711D
9864       E957                   E957                   24259
9865       E958                   E958                   289E1
9866       4FB0                   4FB0                    4FB0
9867       E95A                   E95A                   26D28
9868       5CC2                   5CC2                    5CC2
9869       E95C                   E95C                   244CE
986A       E95D                   E95D                   27E4D
986B       E95E                   E95E                   243BD
986C       6A0C                   6A0C                    6A0C
986D       E960                   E960                   24256
986E       E961                   E961                   21304
986F       70A6                   70A6                    70A6
9870       7133                   7133                    7133
9871       E964                   E964                   243E9
9872       E965                   3DA5                    3DA5
9873       6CDF                   6CDF                    6CDF
9874       E967                   E967                   2F825
9875       E968                   E968                   24A4F
9876       7E65                   7E65                    7E65
9877       59EB                   59EB                    59EB
9878       5D2F                   5D2F                    5D2F
9879       E96C                   3DF3                    3DF3
987A       5F5C                   5F5C                    5F5C
987B       E96E                   E96E                   24A5D
987C       E96F                   E96F                   217DF
987D       7DA4                   7DA4                    7DA4
987E       8426                   8426                    8426
98A1       5485                   5485                    5485
98A2       E973                   E973                   23AFA
98A3       E974                   E974                   23300
98A4       E975                   E975                   20214
98A5       577E                   577E                    577E
98A6       E977                   E977                   208D5
98A7       E978                   E978                   20619
98A8       E979                   3FE5                    3FE5
98A9       E97A                   E97A                   21F9E
98AA       E97B                   E97B                   2A2B6
98AB       7003                   7003                    7003
98AC       E97D                   E97D                   2915B
98AD       5D70                   5D70                    5D70
98AE       738F                   738F                    738F
98AF       7CD3                   7CD3                    7CD3
98B0       E981                   E981                   28A59
98B1       E982                   E982                   29420
98B2       4FC8                   4FC8                    4FC8
98B3       7FE7                   7FE7                    7FE7
98B4       72CD                   72CD                    72CD
98B5       7310                   7310                    7310
98B6       E987                   E987                   27AF4
98B7       7338                   7338                    7338
98B8       7339                   7339                    7339
98B9       E98A                   E98A                   256F6
98BA       7341                   7341                    7341
98BB       7348                   7348                    7348
98BC       E98D                   3EA9                    3EA9
98BD       E98E                   E98E                   27B18
98BE       906C                   906C                    906C
98BF       71F5                   71F5                    71F5
98C0       E991                   E991                   248F2
98C1       73E1                   73E1                    73E1
98C2       81F6                   81F6                    81F6
98C3       E994                   3ECA                    3ECA
98C4       770C                   770C                    770C
98C5       E996                   3ED1                    3ED1
98C6       6CA2                   6CA2                    6CA2
98C7       56FD                   56FD                    56FD
98C8       7419                   7419                    7419
98C9       741E                   741E                    741E
98CA       741F                   741F                    741F
98CB       E99C                   3EE2                    3EE2
98CC       E99D                   3EF0                    3EF0
98CD       E99E                   3EF4                    3EF4
98CE       E99F                   3EFA                    3EFA
98CF       74D3                   74D3                    74D3
98D0       E9A1                   3F0E                    3F0E
98D1       E9A2                   3F53                    3F53
98D2       7542                   7542                    7542
98D3       756D                   756D                    756D
98D4       7572                   7572                    7572
98D5       758D                   758D                    758D
98D6       E9A7                   3F7C                    3F7C
98D7       75C8                   75C8                    75C8
98D8       75DC                   75DC                    75DC
98D9       E9AA                   3FC0                    3FC0
98DA       764D                   764D                    764D
98DB       E9AC                   3FD7                    3FD7
98DC       7674                   7674                    7674
98DD       E9AE                   3FDC                    3FDC
98DE       767A                   767A                    767A
98DF       E9B0                   E9B0                   24F5C
98E0       7188                   7188                    7188
98E1       5623                   5623                    5623
98E2       8980                   8980                    8980
98E3       5869                   5869                    5869
98E4       E9B5                   401D                    401D
98E5       7743                   7743                    7743
98E6       E9B7                   4039                    4039
98E7       6761                   6761                    6761
98E8       E9B9                   4045                    4045
98E9       E9BA                   35DB                    35DB
98EA       7798                   7798                    7798
98EB       E9BC                   406A                    406A
98EC       E9BD                   406F                    406F
98ED       5C5E                   5C5E                    5C5E
98EE       77BE                   77BE                    77BE
98EF       77CB                   77CB                    77CB
98F0       58F2                   58F2                    58F2
98F1       7818                   7818                    7818
98F2       70B9                   70B9                    70B9
98F3       781C                   781C                    781C
98F4       E9C5                   40A8                    40A8
98F5       7839                   7839                    7839
98F6       7847                   7847                    7847
98F7       7851                   7851                    7851
98F8       7866                   7866                    7866
98F9       8448                   8448                    8448
98FA       E9CB                   E9CB                   25535
98FB       7933                   7933                    7933
98FC       6803                   6803                    6803
98FD       7932                   7932                    7932
98FE       E9CF                   4103                    4103
9940       E9D0                   4109                    4109
9941       7991                   7991                    7991
9942       7999                   7999                    7999
9943       8FBB                   8FBB                    8FBB
9944       7A06                   7A06                    7A06
9945       8FBC                   8FBC                    8FBC
9946       E9D6                   4167                    4167
9947       7A91                   7A91                    7A91
9948       E9D8                   41B2                    41B2
9949       7ABC                   7ABC                    7ABC
994A       8279                   8279                    8279
994B       E9DB                   41C4                    41C4
994C       7ACF                   7ACF                    7ACF
994D       7ADB                   7ADB                    7ADB
994E       E9DE                   41CF                    41CF
994F       4E21                   4E21                    4E21
9950       7B62                   7B62                    7B62
9951       7B6C                   7B6C                    7B6C
9952       7B7B                   7B7B                    7B7B
9953       7C12                   7C12                    7C12
9954       7C1B                   7C1B                    7C1B
9955       E9E5                   4260                    4260
9956       E9E6                   427A                    427A
9957       7C7B                   7C7B                    7C7B
9958       7C9C                   7C9C                    7C9C
9959       E9E9                   428C                    428C
995A       7CB8                   7CB8                    7CB8
995B       E9EB                   4294                    4294
995C       7CED                   7CED                    7CED
995D       8F93                   8F93                    8F93
995E       70C0                   70C0                    70C0
995F       E9EF                   E9EF                   20CCF
9960       7DCF                   7DCF                    7DCF
9961       7DD4                   7DD4                    7DD4
9962       7DD0                   7DD0                    7DD0
9963       7DFD                   7DFD                    7DFD
9964       7FAE                   7FAE                    7FAE
9965       7FB4                   7FB4                    7FB4
9966       729F                   729F                    729F
9967       E9F7                   4397                    4397
9968       8020                   8020                    8020
9969       8025                   8025                    8025
996A       7B39                   7B39                    7B39
996B       802E                   802E                    802E
996C       8031                   8031                    8031
996D       8054                   8054                    8054
996E       E9FE                   3DCC                    3DCC
996F       57B4                   57B4                    57B4
9970       70A0                   70A0                    70A0
9971       80B7                   80B7                    80B7
9972       80E9                   80E9                    80E9
9973       EA03                   43ED                    43ED
9974       810C                   810C                    810C
9975       732A                   732A                    732A
9976       810E                   810E                    810E
9977       8112                   8112                    8112
9978       7560                   7560                    7560
9979       8114                   8114                    8114
997A       EA0A                   4401                    4401
997B       EA0B                   3B39                    3B39
997C       8156                   8156                    8156
997D       8159                   8159                    8159
997E       815A                   815A                    815A
99A1       EA0F                   4413                    4413
99A2       583A                   583A                    583A
99A3       817C                   817C                    817C
99A4       8184                   8184                    8184
99A5       EA13                   4425                    4425
99A6       8193                   8193                    8193
99A7       EA15                   442D                    442D
99A8       81A5                   81A5                    81A5
99A9       57EF                   57EF                    57EF
99AA       81C1                   81C1                    81C1
99AB       81E4                   81E4                    81E4
99AC       8254                   8254                    8254
99AD       EA1B                   448F                    448F
99AE       82A6                   82A6                    82A6
99AF       8276                   8276                    8276
99B0       82CA                   82CA                    82CA
99B1       82D8                   82D8                    82D8
99B2       82FF                   82FF                    82FF
99B3       EA21                   44B0                    44B0
99B4       8357                   8357                    8357
99B5       9669                   9669                    9669
99B6       698A                   698A                    698A
99B7       8405                   8405                    8405
99B8       70F5                   70F5                    70F5
99B9       8464                   8464                    8464
99BA       60E3                   60E3                    60E3
99BB       8488                   8488                    8488
99BC       EA2A                   4504                    4504
99BD       84BE                   84BE                    84BE
99BE       84E1                   84E1                    84E1
99BF       84F8                   84F8                    84F8
99C0       8510                   8510                    8510
99C1       8538                   8538                    8538
99C2       8552                   8552                    8552
99C3       EA31                   453B                    453B
99C4       856F                   856F                    856F
99C5       8570                   8570                    8570
99C6       85E0                   85E0                    85E0
99C7       EA35                   4577                    4577
99C8       8672                   8672                    8672
99C9       8692                   8692                    8692
99CA       86B2                   86B2                    86B2
99CB       86EF                   86EF                    86EF
99CC       9645                   9645                    9645
99CD       878B                   878B                    878B
99CE       EA3C                   4606                    4606
99CF       EA3D                   4617                    4617
99D0       88AE                   88AE                    88AE
99D1       88FF                   88FF                    88FF
99D2       8924                   8924                    8924
99D3       8947                   8947                    8947
99D4       8991                   8991                    8991
99D5       EA43                   EA43                   27967
99D6       8A29                   8A29                    8A29
99D7       8A38                   8A38                    8A38
99D8       8A94                   8A94                    8A94
99D9       8AB4                   8AB4                    8AB4
99DA       8C51                   8C51                    8C51
99DB       8CD4                   8CD4                    8CD4
99DC       8CF2                   8CF2                    8CF2
99DD       8D1C                   8D1C                    8D1C
99DE       EA4C                   4798                    4798
99DF       585F                   585F                    585F
99E0       8DC3                   8DC3                    8DC3
99E1       EA4F                   47ED                    47ED
99E2       4EEE                   4EEE                    4EEE
99E3       8E3A                   8E3A                    8E3A
99E4       55D8                   55D8                    55D8
99E5       5754                   5754                    5754
99E6       8E71                   8E71                    8E71
99E7       55F5                   55F5                    55F5
99E8       8EB0                   8EB0                    8EB0
99E9       EA57                   4837                    4837
99EA       8ECE                   8ECE                    8ECE
99EB       8EE2                   8EE2                    8EE2
99EC       8EE4                   8EE4                    8EE4
99ED       8EED                   8EED                    8EED
99EE       8EF2                   8EF2                    8EF2
99EF       8FB7                   8FB7                    8FB7
99F0       8FC1                   8FC1                    8FC1
99F1       8FCA                   8FCA                    8FCA
99F2       8FCC                   8FCC                    8FCC
99F3       9033                   9033                    9033
99F4       99C4                   99C4                    99C4
99F5       EA63                   48AD                    48AD
99F6       98E0                   98E0                    98E0
99F7       9213                   9213                    9213
99F8       EA66                   491E                    491E
99F9       9228                   9228                    9228
99FA       9258                   9258                    9258
99FB       926B                   926B                    926B
99FC       92B1                   92B1                    92B1
99FD       92AE                   92AE                    92AE
99FE       92BF                   92BF                    92BF
9A40       92E3                   92E3                    92E3
9A41       92EB                   92EB                    92EB
9A42       92F3                   92F3                    92F3
9A43       92F4                   92F4                    92F4
9A44       92FD                   92FD                    92FD
9A45       9343                   9343                    9343
9A46       9384                   9384                    9384
9A47       93AD                   93AD                    93AD
9A48       EA75                   4945                    4945
9A49       EA76                   4951                    4951
9A4A       9EBF                   9EBF                    9EBF
9A4B       9417                   9417                    9417
9A4C       5301                   5301                    5301
9A4D       941D                   941D                    941D
9A4E       942D                   942D                    942D
9A4F       943E                   943E                    943E
9A50       EA7D                   496A                    496A
9A51       9454                   9454                    9454
9A52       9479                   9479                    9479
9A53       952D                   952D                    952D
9A54       95A2                   95A2                    95A2
9A55       EA82                   49A7                    49A7
9A56       95F4                   95F4                    95F4
9A57       9633                   9633                    9633
9A58       EA85                   49E5                    49E5
9A59       67A0                   67A0                    67A0
9A5A       EA87                   4A24                    4A24
9A5B       9740                   9740                    9740
9A5C       EA89                   4A35                    4A35
9A5D       97B2                   97B2                    97B2
9A5E       97C2                   97C2                    97C2
9A5F       5654                   5654                    5654
9A60       EA8D                   4AE4                    4AE4
9A61       60E8                   60E8                    60E8
9A62       98B9                   98B9                    98B9
9A63       EA90                   4B19                    4B19
9A64       98F1                   98F1                    98F1
9A65       5844                   5844                    5844
9A66       990E                   990E                    990E
9A67       9919                   9919                    9919
9A68       51B4                   51B4                    51B4
9A69       991C                   991C                    991C
9A6A       9937                   9937                    9937
9A6B       9942                   9942                    9942
9A6C       995D                   995D                    995D
9A6D       9962                   9962                    9962
9A6E       EA9B                   4B70                    4B70
9A6F       99C5                   99C5                    99C5
9A70       EA9D                   4B9D                    4B9D
9A71       9A3C                   9A3C                    9A3C
9A72       9B0F                   9B0F                    9B0F
9A73       7A83                   7A83                    7A83
9A74       9B69                   9B69                    9B69
9A75       9B81                   9B81                    9B81
9A76       9BDD                   9BDD                    9BDD
9A77       9BF1                   9BF1                    9BF1
9A78       9BF4                   9BF4                    9BF4
9A79       EAA6                   4C6D                    4C6D
9A7A       9C20                   9C20                    9C20
9A7B       EAA8                   376F                    376F
9A7C       EAA9                   EAA9                   21BC2
9A7D       9D49                   9D49                    9D49
9A7E       9C3A                   9C3A                    9C3A
9AA1       9EFE                   9EFE                    9EFE
9AA2       5650                   5650                    5650
9AA3       9D93                   9D93                    9D93
9AA4       9DBD                   9DBD                    9DBD
9AA5       9DC0                   9DC0                    9DC0
9AA6       9DFC                   9DFC                    9DFC
9AA7       94F6                   94F6                    94F6
9AA8       8FB6                   8FB6                    8FB6
9AA9       9E7B                   9E7B                    9E7B
9AAA       9EAC                   9EAC                    9EAC
9AAB       9EB1                   9EB1                    9EB1
9AAC       9EBD                   9EBD                    9EBD
9AAD       9EC6                   9EC6                    9EC6
9AAE       94DC                   94DC                    94DC
9AAF       9EE2                   9EE2                    9EE2
9AB0       9EF1                   9EF1                    9EF1
9AB1       9EF8                   9EF8                    9EF8
9AB2       7AC8                   7AC8                    7AC8
9AB3       9F44                   9F44                    9F44
9AB4       EABF                   EABF                   20094
9AB5       EAC0                   EAC0                   202B7
9AB6       EAC1                   EAC1                   203A0
9AB7       691A                   691A                    691A
9AB8       94C3                   94C3                    94C3
9AB9       59AC                   59AC                    59AC
9ABA       EAC5                   EAC5                   204D7
9ABB       5840                   5840                    5840
9ABC       94C1                   94C1                    94C1
9ABD       EAC8                   37B9                    37B9
9ABE       EAC9                   EAC9                   205D5
9ABF       EACA                   EACA                   20615
9AC0       EACB                   EACB                   20676
9AC1       EACC                   EACC                   216BA
9AC2       5757                   5757                    5757
9AC3       7173                   7173                    7173
9AC4       EACF                   EACF                   20AC2
9AC5       EAD0                   EAD0                   20ACD
9AC6       EAD1                   EAD1                   20BBF
9AC7       546A                   546A                    546A
9AC8       EAD3                   EAD3                   2F83B
9AC9       EAD4                   EAD4                   20BCB
9ACA       549E                   549E                    549E
9ACB       EAD6                   EAD6                   20BFB
9ACC       EAD7                   EAD7                   20C3B
9ACD       EAD8                   EAD8                   20C53
9ACE       EAD9                   EAD9                   20C65
9ACF       EADA                   EADA                   20C7C
9AD0       60E7                   60E7                    60E7
9AD1       EADC                   EADC                   20C8D
9AD2       567A                   567A                    567A
9AD3       EADE                   EADE                   20CB5
9AD4       EADF                   EADF                   20CDD
9AD5       EAE0                   EAE0                   20CED
9AD6       EAE1                   EAE1                   20D6F
9AD7       EAE2                   EAE2                   20DB2
9AD8       EAE3                   EAE3                   20DC8
9AD9       6955                   6955                    6955
9ADA       9C2F                   9C2F                    9C2F
9ADB       87A5                   87A5                    87A5
9ADC       EAE7                   EAE7                   20E04
